lang	source
*	
*	#
*	%
*	%1
*	0
*	1/32
*	1/16
*	1/8
*	1/4
*	1/2
*	1
*	2
*	4
*	8
*	16
*	32
*	64
*	256
*	16 Hz
*	Icecast 1
*	Icecast 2
*	Shoutcast 1
*	MP3
*	Ogg Vorbis
*	http://www.mixxx.org
*	http://www.xwax.co.uk
*	4%
*	8% (Technics SL-1210)
*	10%
*	16%
*	24%
*	50%
*	90%
*	20.05 kHz
*	%1 ms
*	Banshee
*	BPM
*	BPM:
*	BPM +1
*	BPM -1
*	BPM +0.1
*	BPM -0.1
*	3/4 BPM
*	2/3 BPM
*	3/2 BPM
*	4/3 BPM
*	MusicBrainz
*	ReplayGain
*	ReplayGain:
*	ReplayGain 2.0 (ITU-R BS.1770)
*	ReplayGain 1.0
*	CUP (Cue + Play)
*	%1 Hz
*	iTunes
*	Traktor
*	Rhythmbox
*	Serato
*	hh:mm
*	Opus
*	AAC
*	HE-AAC
*	HE-AACv2
*	Mono
*	ICQ
*	AIM
*	IRC
*	Soft Takeover
*	SoftTakeover
*	Opcode
*	Note On
*	Note Off
*	CC
*	Lancelot
*	OpenKey
*	Ctrl+S
*	Ctrl+Shift+O
*	Ctrl+P
*	Ctrl+
*	Ctrl+R
*	Ctrl+L
*	Ctrl+F
*	Ctrl+t
*	Ctrl+y
*	Ctrl+u
*	Ctrl+i
*	Ctrl+o
*	Ctrl+,
*	Ctrl+q
*	Ctrl+n
*	Ctrl+1
*	Ctrl+2
*	Ctrl+3
*	Ctrl+4
*	Ctrl+6
*	Ctrl+`
*	Ctrl+Shift+L
*	Ctrl+Shift+N
*	Ctrl+Shift+R
*	Ctrl+Shift+T
*	Ctrl+Shift+E
*	Ctrl+Shift+B
*	Ctrl+Shift+D
*	Ctrl+Backspace
*	Ctrl+Space
*	500 px
*	250 px
*	...
*	 ms
*	20 ms
*	Pro-Logic Surround
*	-30 LUFS
*	-6 LUFS
*	-12 dB
*	0 dB
*	+12 dB
*	44 dB
*	HSV
*	RGB
*	RGB L/R
*	RGB Stacked
*	VSyncTest
*	Rot64
*	Rot64Inv
*	Rot64Fast
*	Diff
*	Spread64
*	HercJog
*	SelectKnob
*	14-bit (LSB)
*	14-bit (MSB)
*	Bitcrusher
*	Ping Pong
*	Triplets
*	Q
*	Q 1
*	Q 2
*	Flanger
*	Regen
*	Mix
*	Autopan
*	Bessel4 ISO
ca,de,el,en_CA,en_GB,es*,fr_CA,fr_CI,hu,it,nl,pt*,sl,sv	Res
*	%1:%2
*	Bessel8 ISO
*	LR8 ISO
*	BQ EQ
*	BQ EQ/ISO
*	Loudness
*	16 bits
*	24 bits
*	Param EQ
*	CBR
*	Rekordbox
*	%1: %2
*	F12
*	Esc
*	Stereo
*	2x MSAA
*	4x MSAA
*	8x MSAA
*	16x MSAA
*	 px
*	TextLabel
*	&OK
*	LPF
*	HPF
*	Stem #%1
*	FPS: n/a
*	<i>FPS: %0/%1</i>
*	\u276f
*	\u276e
de,hu,bs,cs,da,fr,hr,id,it,lb,ms,nb,nl,nn,oc,pl,ro,sk,sl,sv,vi,sq_AL,pt*,fr_CA,fr_CI	Album
